station_code,station_name,hospital_code,hospital_name,time_car_min,has_official_time
RYF57,Redruth Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),13.017730812125,True
RYF70,Helston Ambulance Station,REF02,St Michael's Teaching Hospital,22.271802107125,True
RYF58,Falmouth Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),26.433994253125,True
RYF60,Newquay Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),26.755126012208333,True
RYF26,Cornwall Air Ambulance,REF12,Royal Cornwall Hospital (Treliske),27.40894418170833,True
RYF61,St Austell Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),36.50472049479166,True
RYF62,Bodmin Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),42.0060315622,True
RYF69,Wadebridge Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),46.60851387895834,True
RYF66,Liskeard Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),59.57881148575,True
RYF64,Camelford Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),59.72147985395833,True
RYF68,Saltash Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),72.28145128620834,True
RYF63,Launceston Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),79.0637710752529,True
RYFEW,Torpoint Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),79.64040015402084,True
RYF65,Bude Ambulance Station,REF12,Royal Cornwall Hospital (Treliske),89.90320587395833,True
